In the Heart of the Sea|2015|Thriller - Drama - Adventure|6.5
The Incredibles|2004|Action - Adventure - Animation|7.3
Independence Day: Resurgence|2016|Action - Adventure - Science Fiction|4.9
Inglourious Basterds|2009|Drama - Action|7.9
Ingrid Goes West|2017|Drama - Comedy|6.7
Inside Out|2015|Drama - Comedy - Animation|8.0
Insurgent|2015|Adventure - Science Fiction - Thriller|6.2
Interstellar|2014|Adventure - Drama - Science Fiction|8.0
Into the Woods|2014|Fantasy - Comedy - Music|5.6
Ip Man 3|2016|Action - Drama - History|6.4
The Iron Giant|1999|Adventure - Animation - Family|7.6
Isle of Dogs|2018|Adventure - Comedy|7.8
It's a SpongeBob Christmas!|2012|Family - Animation|5.6
Its Your 50th Christmas Charlie Brown|N/A|N/A|N/A
Iudmckdhforiv2|N/A|N/A|N/A
Jack Ryan: Shadow Recruit|2014|Action - Drama - Thriller|5.9
Jack-Jack Attack|2005|Adventure - Animation - Family|7.3
John Wick|2014|Action - Thriller|7.0
John Wick: Chapter 2|2017|Thriller - Action - Crime|6.5
Jumanji|1995|Adventure - Fantasy - Family|6.8
Jumanji: Welcome to the Jungle|2017|Action - Adventure|6.5
The Jungle Book|2016|Adventure - Drama - Fantasy|6.7
Jurassic World|2015|Action - Adventure - Science Fiction|6.5
Justice League|2017|Action - Adventure|6.6
Kick-Ass 2|2013|Action - Adventure - Crime|6.3
Kidnap|2017|Drama - Thriller|5.9
Killing Ground|2017|Horror - Thriller|8.5
King Arthur: Legend of the Sword|2017|Action - Drama|6.5
Kingsman: The Golden Circle|2017|Action - Adventure|7.1
Kingsman: The Secret Service|2014|Crime - Comedy - Action|7.6
Kong: Skull Island|2017|Action - Adventure - Fantasy|6.1
Kubo and the Two Strings|2016|Animation - Adventure - Family|7.7
Kung Fu Panda|2008|Adventure - Animation - Family|6.9
Kung Fu Panda 2|2011|Animation - Family|6.7
Kung Fu Panda 3|2016|Action - Adventure - Animation|6.6
La La Land|2016|Comedy - Drama - Music|7.8
Legend|2015|Crime - Thriller|6.7
The Lego Batman Movie|2017|Fantasy - Action - Animation|7.2
Lego DC Comics Super Heroes: The Flash|2018|Adventure - Animation|8.0
LEGO DC Super Hero Girls: Brain Drain|2017|Animation|N/A
The Lego Movie|2014|Adventure - Animation - Comedy|7.5
Les Mis?rables|2012|Drama - History|7.3
The Lion King|1994|Family - Animation - Drama|7.9
The Little Mermaid|1989|Animation - Family|7.2
Logan|2017|Action - Drama - Science Fiction|7.5
Logan Lucky|2017|Action - Comedy|6.6
The Lorax|2012|Animation - Family|6.3
The Lord of the Rings Extended III: The Return of the King|2003|Fantasy|8.0
The Lord of the Rings: The Fellowship of the Ring|2001|Adventure - Fantasy - Action|8.0
The Lost City of Z|2016|Action - Adventure|6.0
Love Actually|2003|Comedy - Romance - Drama|7.0
Mad Max: Fury Road|2015|Action - Adventure - Science Fiction|7.2
The Magnificent Seven|2016|Adventure - Action - Western|5.7
Maleficent|2014|Fantasy - Adventure - Action|7.0
Man of Steel|2013|Action - Adventure - Fantasy|6.5
The Martian|2015|Drama - Adventure - Science Fiction|7.6
The Matrix|1999|Action - Science Fiction|7.9
The Maze Runner|2014|Action - Mystery - Science Fiction|7.0
Maze Runner: The Scorch Trials|2015|Action|6.4
Maze Runner: The Death Cure|2018|Action - Mystery|7.3
Mechanic: Resurrection|2016|Action - Crime - Thriller|5.2
Megamind|2010|Animation - Action - Comedy|6.7
Midnight Special|2016|Adventure - Drama - Science Fiction|6.3
Minions|2015|Family - Animation - Adventure|6.5
Miss Peregrine's Home for Peculiar Children|2016|Drama - Fantasy - Adventure|6.5
Mission: Impossible - Rogue Nation|2015|Action - Adventure - Thriller|7.1
Moana|2016|Adventure - Animation - Comedy|7.2
Monsters University|2013|Animation - Family|7.0
Monsters, Inc.|2001|Fantasy - Animation - Family|7.5
Moonlight|2016|Drama|7.3
Mr. Peabody & Sherman|2014|Animation - Adventure - Family|6.8
The Muppets|2011|Comedy - Family - Music|6.5
Muppets Most Wanted|2014|Comedy - Adventure - Crime|6.2
My Big Fat Greek Wedding 2|2016|Romance - Comedy - Family|5.5
My Little Pony: The Movie|2017|Adventure - Animation|N/A
Need for Speed|2014|Action - Crime - Drama|6.1
Neighbors|2014|Comedy|6.2
Neighbors 2: Sorority Rising|2016|Comedy|5.6
The Nice Guys|2016|Action - Comedy - Crime|7.0
Night at the Museum: Secret of the Tomb|2014|Adventure - Comedy - Fantasy|6.1
The Night Before|2015|Comedy|6.1
Nightcrawler|2014|Crime - Drama - Thriller|7.6
The Nightmare Before Christmas|1993|Fantasy - Animation - Family|7.6
The Nut Job|2014|Animation - Comedy - Family|5.4
The Nut Job 2: Nutty by Nature|2017|Family - Animation|6.4
Once Upon a Time in China|1991|Action - Drama|7.3
Once Upon a Time in China & America|1997|Action - Western|5.7
The Other Woman|2014|Comedy - Romance|6.2
Oz: The Great and Powerful|2013|Fantasy - Adventure - Family|5.7
Pacific Rim|2013|Action - Science Fiction - Adventure|6.7
Pacific Rim: Uprising|2018|Action - Fantasy|5.9
Paddington|2015|Family - Comedy|7.0
Pan|2015|Adventure - Family - Fantasy|5.9
ParaNorman|2012|Family - Animation - Adventure|6.7
Passengers|2016|Adventure - Drama - Romance|6.6
The Peanuts Movie|2015|Animation|6.5
Penguins of Madagascar|2014|Family - Animation - Adventure|6.5
Pete's Dragon|2016|Adventure - Family - Fantasy|6.2
Peter Rabbit|2018|Animation - Adventure|6.4
Planet 51|2009|Science Fiction - Animation - Family|5.7
The Polar Express|2004|Adventure - Animation|6.5
The Princess and the Frog|2009|Romance - Family - Animation|6.7
Rare Exports: A Christmas Tale|2010|Fantasy - Action - Science Fiction|6.4
Ratatouille|2007|Animation - Comedy - Family|7.4
Ready Player One|2018|Adventure - Science Fiction|7.7
RED 2|2013|Action - Comedy - Crime|6.4
The Revenant|2015|Western - Drama - Adventure|7.3
Robots|2005|Animation - Comedy - Family|5.9
Rogue One: A Star Wars Story|2016|Science Fiction|7.3
Sausage Party|2016|Adventure - Animation - Comedy|5.7
Savage Dog|2017|Action|4.0
Scooby-Doo! & Batman: The Brave and the Bold|2018|Animation|7.3
The Secret Life of Pets|2016|Animation|5.8
Seventh Son|2015|Adventure - Fantasy|5.2
The Shape of Water|2017|Drama - Fantasy|7.4
The Shawshank Redemption|1994|Drama - Crime|8.5
Sherlock Gnomes|2018|Romance - Animation|5.1
Shot Caller|2017|Drama - Crime|6.9
Shrek|2001|Adventure - Animation - Comedy|7.2
Shrek 2|2004|Adventure - Animation - Comedy|6.6
Shrek Forever After|2010|Comedy - Adventure - Fantasy|6.0
Shrek the Third|2007|Fantasy - Adventure - Animation|5.9
Sing|2016|Animation|6.8
Sisters|2015|Comedy|5.8
